title,link,rubrique
"Sport :Alain Sibiri TRAORE, mets fin à sa carrière de footballeur",https://burkinainfo.com/2025/07/17/sport-alain-sibiri-traore-mets-fin-a-sa-carriere-de-footballeur/,sport
Sport : la 7e édition du Coup de pédale OUAGA-SAPONÉ les 2 et 3 août 2025,https://burkinainfo.com/2025/07/10/sport-la-7e-edition-du-coup-de-pedale-ouaga-sapone-les-2-et-3-aout-2025/,sport
Formation de la relève sportive : le Ministre Roland SOMDA séduit par le modèle du Centre Noaga OUEDRAOGO de Bama,https://burkinainfo.com/2025/07/06/formation-de-la-releve-sportive-le-ministre-roland-somda-seduit-par-le-modele-du-centre-noaga-ouedraogo-de-bama/,sport
"À Tintilou, l’AJSB célèbre la presse sportive et son rôle dans la Révolution populaire progressiste",https://burkinainfo.com/2025/07/06/a-tintilou-lajsb-celebre-la-presse-sportive-et-son-role-dans-la-revolution-populaire-progressiste/,sport
homologation du stade du 4 août : le certificat remis au chef d’état,https://burkinainfo.com/2025/07/04/homologation-du-stade-du-4-aout-le-certificat-remis-au-chef-detat/,sport
Journée internationale de la presse sportive : le message du président de l’AJSB Ibrahima Diallo,https://burkinainfo.com/2025/07/02/journee-internationale-de-la-presse-sportive-le-message-du-president-de-lajsb-ibrahima-diallo/,sport
Communiqué |  Le Infinix HOT60Pro+ entre dans le GUINNESS WORLD RECORDS™ comme le smartphone à écran incurvé 3D le plus fin au monde.,https://burkinainfo.com/2025/08/27/communique-le-infinix-hot60pro-entre-dans-le-guinness-world-records-comme-le-smartphone-a-ecran-incurve-3d-le-plus-fin-au-monde/,tech
Annonce | Infinix Hot60Pro+ et Infinix Hot60i deux nouveaux modèles,https://burkinainfo.com/2025/08/20/annonce-infinix-hot60pro-et-infinix-hot60i-deux-nouveaux-modeles-2/,tech
"Raynal Assurances lance son application mobile, une innovation au service de ses clients",https://burkinainfo.com/2025/08/08/raynal-assurances-lance-son-application-mobile-une-innovation-au-service-de-ses-clients-2/,tech
Communiqué | Top 3 mondial en robotique : Le Burkina Faso crée la surprise,https://burkinainfo.com/2025/08/07/communique-top-3-mondial-en-robotique-le-burkina-faso-cree-la-surprise-2/,tech
Annonce | TECNO Spark 40 : le smartphone qui va bouleverser votre quotidien,https://burkinainfo.com/2025/08/06/annonce-tecno-spark-40-le-smartphone-qui-va-bouleverser-votre-quotidien/,tech
"Annonce | Innovation et Technologie : Infinix révolutionne le marché des smartphones en lançant son nouveau HOT 60 PRO+, le téléphone à écran incurvé 3D le plus fin au monde : Un nouveau record mondial",https://burkinainfo.com/2025/08/06/annonce-innovation-et-technologie-infinix-revolutionne-le-marche-des-smartphones-en-lancant-son-nouveau-hot-60-pro-le-telephone-a-ecran-incurve-3d-le-plus-fin-au-monde-un-nouveau-record-mondia-2/,tech
Ouagadougou : Un Burkinabè imagine un plan d’aménagement du canal de Kalgondé généré par l’IA,https://burkinainfo.com/2025/08/03/ouagadougou-un-burkinabe-imagine-un-plan-damenagement-du-canal-de-kalgonde-genere-par-lia-2/,tech
"Supposés effets nocifs des pylônes des téléphonies mobiles sur la santé des populations : L’ANEVE, l’ARSN et l’ARCEP rassurent !",https://burkinainfo.com/2025/08/02/supposes-effets-nocifs-des-pylones-des-telephonies-mobiles-sur-la-sante-des-populations-laneve-larsn-et-larcep-rassurent-2/,tech
Grande Promo «Ne Maam» de Orange Money Burkina Faso : Ibrahim Samaké empoche les 5 millions de F CFA,https://burkinainfo.com/2025/07/30/grande-promo-ne-maam-de-orange-money-burkina-faso-ibrahim-samake-empoche-les-5-millions-de-f-cfa/,tech
